ASV_updated,SSU_FAMILY_x_LSU_family,SSU_genus_x_LSU_genus,ITS_family_x_LSU_family,ITS_genus_x_LSU_genus,ITS_species_x_LSU_species
Glomus_chinense_P4-bc1001-1026-s194_STFP_ASV2353_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s198_STFP_ASV2348_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s238_STFP_ASV2347_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s251_STFP_ASV2344_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s266_STFP_ASV2346_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s289_STFP_ASV2350_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s7031_STFP_ASV2345_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1001-1026-s858_STFP_ASV2352_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1002-733-s197_STFP_ASV2053_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1002-733-s263_STFP_ASV2097_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1002-733-s269_STFP_ASV2081_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1002-733-s86_STFP_ASV2088_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_chinense_P4-bc1002-733-s88_STFP_ASV2354_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_spurca_P4-bc1005-444-s210_STFP_ASV2008_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_spurca_P4-bc1005-444-s34_STFP_ASV2105_CCAMF,Correct,Correct,Correct,Correct,NA
Diversispora_spurca_P4-bc1005-444-s81_STFP_ASV2100_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s18384_STFP_ASV2044_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s2443_STFP_ASV2384_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1011-1220-s2707_STFP_ASV2370_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s3037_STFP_ASV2369_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s3192_STFP_ASV2032_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s3311_STFP_ASV2368_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s448_STFP_ASV2396_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s475_STFP_ASV2375_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s580_STFP_ASV2371_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s636_STFP_ASV2381_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1011-1220-s8167_STFP_ASV2083_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1011-1220-s870_STFP_ASV2004_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s330_STFP_ASV2364_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1012-65-s385_STFP_ASV2072_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1012-65-s41_STFP_ASV2391_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s424_STFP_ASV2392_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s44_STFP_ASV2056_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s456_STFP_ASV2367_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s50_STFP_ASV2366_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1012-65-s56_STFP_ASV2365_CCAMF,Correct,Correct,Correct,Correct,Wrong
Glomus_rugosae_P4-bc1012-65-s561_STFP_ASV2068_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s61_STFP_ASV2363_CCAMF,Correct,Correct,Correct,Correct,NA
Glomus_rugosae_P4-bc1012-65-s715_STFP_ASV2390_CCAMF,Correct,Correct,Correct,Correct,NA
Septoglomus_viscosum_P4-bc1013-SPU-7-1-2-Att1910-1-s1399_STFI_ASV2060_CCAMF,Outdated,Outdated,Outdated,Correct,NA
Septoglomus_viscosum_P4-bc1013-SPU-7-1-2-Att1910-1-s346_STFI_ASV2001_CCAMF,Outdated,Outdated,Outdated,Correct,NA
Septoglomus_viscosum_P4-bc1013-SPU-7-1-2-Att1910-1-s4078_STFI_ASV2054_CCAMF,Outdated,Outdated,Outdated,Correct,NA
Septoglomus_viscosum_P4-bc1013-SPU-7-1-2-Att1910-1-s483_STFI_ASV2101_CCAMF,Outdated,Outdated,Outdated,Correct,NA
Septoglomus_viscosum_P4-bc1013-SPU-7-1-2-Att1910-1-s918_STFI_ASV2057_CCAMF,Outdated,Outdated,Outdated,Correct,NA
Septoglomus_viscosum_P4-bc1014-SPU-7-1-3-Att1910-1-s1019_STFI_ASV2001_CCAMF,Outdated,Outdated,Outdated,Correct,NA
