asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
ASV_50	146	Funneliformis_mosseae	90	510_4A	Single	Funneliformis_mosseae_510_4A_ASV_50
ASV_51	144	Rhizophagus_clarus	19	FL879N	Single	Rhizophagus_clarus_FL879N_ASV_51
ASV_52	140	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_52
ASV_53	140	Rhizophagus_clarus	36	BR147B	Single	Rhizophagus_clarus_BR147B_ASV_53
ASV_54	139	Gigaspora_margarita	5	NC114B	Single	Gigaspora_margarita_NC114B_ASV_54
ASV_55	139	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_55
ASV_56	139	Gigaspora_albida	9	BR235	Single	Gigaspora_albida_BR235_ASV_56
ASV_57	138	Dentiscutata_erythropa	85	RI275_31	Single	Dentiscutata_erythropa_RI275_31_ASV_57
ASV_58	137	Funneliformis_mosseae	69	NC302C	Single	Funneliformis_mosseae_NC302C_ASV_58
ASV_59	136	Paraglomus_brasilianum	77	FL710_19	Single	Paraglomus_brasilianum_FL710_19_ASV_59
ASV_60	135	Multiple_species	8|16|20	MT106|VZ103E|FL105_11	Multi	Multiple_species_MT106|VZ103E|FL105_11_ASV_60
ASV_61	135	Multiple_species	37|40	IS185_26|KS210	Multi	Multiple_species_IS185_26|KS210_ASV_61
ASV_62	135	Multiple_species	37|40	IS185_26|KS210	Multi	Multiple_species_IS185_26|KS210_ASV_62
ASV_63	133	Multiple_species	8|40	MT106|KS210	Multi	Multiple_species_MT106|KS210_ASV_63
ASV_64	129	Funneliformis_coronatus	15	MR101	Single	Funneliformis_coronatus_MR101_ASV_64
ASV_65	128	Funneliformis_monosporus	88	WY107	Single	Funneliformis_monosporus_WY107_ASV_65
ASV_66	128	Rhizophagus_dimorphicus	25	FL912N	Single	Rhizophagus_dimorphicus_FL912N_ASV_66
